ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalogue","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (mm)","Width (mm)","Height (mm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: _primary_term_product_cat","Meta: icrtouchplu","Meta: woosb_ids","Meta: woosb_disable_auto_price","Meta: woosb_discount","Meta: woosb_shipping_fee","Meta: woosb_optional_products","Meta: woosb_manage_stock","Meta: woosb_limit_each_min","Meta: woosb_limit_each_max","Meta: woosb_limit_whole_min","Meta: woosb_limit_whole_max","Meta: _wpas_done_all","Meta: sharing_disabled","Meta: _wc_local_pickup_plus_local_pickup_product_availability","Meta: woosb_discount_amount","Meta: woosb_limit_each_min_default","Meta: wpfoof-exclude-product","Meta: wpfoof-google","Meta: wpfoof-adsensecustom","Meta: cmplz_hide_cookiebanner","Meta: _last_editor_used_jetpack","Meta: _genesis_description","Meta: _sbi_oembed_done_checking","Meta: _wc_facebook_sync_enabled","Meta: fb_visibility","Meta: fb_product_description","Meta: _wc_facebook_product_image_source","Meta: _wc_facebook_commerce_enabled","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: woosb_total_limits","Meta: woosb_total_limits_min","Meta: woosb_total_limits_max","Meta: woosb_layout","Meta: images","Meta: _images","Meta: _genesis_noindex","Meta: _genesis_nofollow","Meta: _genesis_noarchive","Meta: exclude_local_search","Meta: exclude_from_archive","Meta: woosb_exclude_unpurchasable","Meta: _genesis_title","Meta: _wp_old_date","Meta: _tsf_title_no_blogname","Meta: woosb_show_classic_box_only","Meta: hide_gform_wrapper","Meta: woosb_limit_whole_ignore"
2589,woosb,,"Large Sourdough Donuts (Box of 12)",1,0,visible,,"<h4>Selection of handcrafted Gourmet Sourdough Donuts.</h4>
\nPlease note, there are 12 donuts in each box. Quantity 1 = 1 Box of 12.",,,taxable,,1,,,0,0,,,,,0,,,28.00,"Corporate Orders > Non-Branded Donuts, Personal Orders","a box of ring donuts, chocolate donuts, classic donuts dublin, glazed donuts, ring donuts, Sourdough donuts",,https://www.therollingdonut.ie/wp-content/uploads/2019/03/IMG_2279.jpg,,,,,,,,,0,18,,"2625/3,2869/2,2517/3,2900/2,2904/2",on,0,whole,on,off,,,12,12,1,1,inherit,,off,0,0,0,,classic-editor,"Pick up our classic box of ring donuts! Simple but delicious this box has a selection of brand favourite ring donuts. Get yours NOW!",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,woosb,,"Special Occasion Midi Sourdough Donuts (Box of 20)",1,0,visible,,"Box of 20 Midi Gourmet Sourdough Donuts with a special occasion logo of your choice
\n
\n<strong>The Classic Box of 20 contains two of each of the following flavours:</strong>
\n<ul>
\n 	<li>Ferrero Rocher</li>
\n 	<li>Lotus Biscoff</li>
\n 	<li>Red Velvet</li>
\n 	<li>Kinder Deluxe</li>
\n 	<li>The Milkybar Kid</li>
\n 	<li>Coffee Lover</li>
\n 	<li>Cookies &amp; Cream</li>
\n 	<li>The Dub</li>
\n 	<li>Victoria Raspberry</li>
\n 	<li>Apple Crumble</li>
\n</ul>
\nPlease note, there are 20 donuts in each box. Quantity 1 = 1 Box of 20.",,,taxable,,1,,,0,0,,,,,0,,,50,"Special Occasions","a gift for teacher, baby shower, birthday cake, birthday donuts, Bride to be gift, donuts near me, foodie dublin, Picnic ideas, rollling donut, small donuts, Sourdough donuts, special occasion gift, Support local",,"https://www.therollingdonut.ie/wp-content/uploads/2019/06/WhatsApp-Image-2022-05-25-at-4.56.14-PM-e1653571362846.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2019/06/WhatsApp-Image-2022-05-25-at-4.56.18-PM.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2020/11/7.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/1.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/2.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/8-1.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/10.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/9.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/6.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/5-1.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/4.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/3.png",,,,,,,,,0,33,,"2526/2,9686/2,2514/2,13939/2,2554/2,2498/2,2510/2,2534/2,2502/2,21943/2,13934/0,29984/0,2626/0,2518/0,2905/0,9690/0,2587/0,5028/0,2575/0,2571/0,2562/0,2567/0,2558/0,2583/0,29989/0",on,0,whole,on,off,,,20,20,1,,inherit,,off,0,0,0,,classic-editor,"Box of 20 Midi Gourmet Sourdough Donuts. Perfect for parties, office meetings and other special occasions",1,,,,,,,,,,,,,,,,,,,,,,"Midi Gourmet Sourdough Donuts | Box of 20",,,,,
2916,woosb,,"Special Occasion Large Sourdough Donuts (Box of 12)",1,0,visible,,"<h4>Selection of handcrafted Gourmet Sourdough Donuts with a logo of your choice.</h4>
\n<div><strong>The Classic Box of 12 contains one each of the following:</strong></div>
\n<ul>
\n 	<li>Ferrero Rocher</li>
\n 	<li>Lotus Biscoff</li>
\n 	<li>Red Velvet</li>
\n 	<li>Kinder Deluxe</li>
\n 	<li>Coffee Lover</li>
\n 	<li>Cookies &amp; Cream</li>
\n 	<li>The Dub</li>
\n 	<li>S'mores</li>
\n 	<li>Old Fashioned Raspberry Jam</li>
\n 	<li>Apple Crumble</li>
\n 	<li>White Kinder</li>
\n 	<li>Blueberry Cheesecake</li>
\n</ul>
\nPlease note, there are 12 donuts in each box. Quantity 1 = 1 Box of 12.",,,taxable,,1,,,0,0,,,,,0,,,33.60,"Special Occasions","best donuts dublin, birthday cake, Birthday food gift, Gift for her, Irish food recommendations, Local Donuts, Sourdough donuts, special occasion gift, Thank you gift",,"https://www.therollingdonut.ie/wp-content/uploads/2019/06/WhatsApp-Image-2022-05-25-at-5.06.50-PM-e1659976004126.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2019/06/WhatsApp-Image-2022-06-10-at-4.12.01-PM.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2020/11/7.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/1.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/2.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/10.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/9.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/8-1.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/6.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/5-1.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/4.png, https://www.therollingdonut.ie/wp-content/uploads/2020/11/3.png",,,,,,,,,0,33,,"31408/1,2513/1,2525/1,9685/1,2553/1,2509/1,2497/1,2533/1,2501/1,29983/1,13933/1,21942/1,13938/0,2841/0,11854/0,2869/0,2625/0,2904/0,2517/0,9689/0,2557/0,2586/0,5027/0,2570/0,2574/0,2566/0,2578/0,2561/0,29988/0",on,0,whole,on,off,,,12,12,1,,inherit,,off,0,0,0,,classic-editor,"Selection of handcrafted Gourmet Sourdough Donuts with a logo of your choice. Perfect gift for any occasion!",1,yes,yes,,product,no,,,,,,,,,,,,,,,,,"Special Occasion Donuts (Box of 12)",,,,,
4883,woosb,,"Kids Party Box",'-1,0,hidden,,"Mix of our kids favourites - perfect for any party! :)
\n
\n4x Vanilla Pandas
\n
\n4x Mini Nutella &amp; Marshmallow
\n
\n3x Vanilla Sprinkle
\n
\n3x Unicorns
\n
\n&nbsp;",,,taxable,,1,,,1,0,,,,,0,,,32,"Corporate Orders, Personal Orders","donuts for kids dublin, kids birthday cake, Kids donuts, kids party gift, unicorn donuts",,https://www.therollingdonut.ie/wp-content/uploads/2019/12/90505662-e9c9-4c5a-b7b9-39bf57e767d2-e1594635368297.jpg,,,,,,,,,0,18,,"3711/4,2841/3,2848/4,2904/3",on,0,whole,off,off,,,,,1,,inherit,,off,0,0,0,,classic-editor,"Mix of kids favourites &#x2d; great for any party! Unicorn magic, vanilla panda, sprinkles and more...",1,,,,,,,,,,,,,,,,,,,,,,,2019-12-13,,,,
7035,woosb,,"DIY Unicorn Magic Box",0,0,hidden,,"<h4>Our DIY Unicorn Magic Box is the perfect treat for any occasion...</h4>
\n<div><strong>Each Box Includes:</strong></div>
\n<ul>
\n 	<li>5 x Standard Ring Donuts</li>
\n 	<li>Instructions</li>
\n 	<li>Coloured Icing x3</li>
\n 	<li>Chocolate piping x1</li>
\n 	<li>Unicorn Horn Decorations</li>
\n 	<li>Marshmallows</li>
\n 	<li>Sprinkles</li>
\n</ul>
\nShare your creations with us! @therollingdonut_  #therolloingdonut",,,taxable,,0,,,0,0,,,,,0,,,22,"Corporate Orders, Corporate Orders > Non-Branded Donuts, Personal Orders","DIY Box",,"https://www.therollingdonut.ie/wp-content/uploads/2020/05/IMG_7229.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/05/IMG_7139.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/05/IMG_7146.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/05/IMG_7152.jpg",,,,,,,,,0,18,,,on,0,whole,off,off,,,4,4,1,1,inherit,,off,0,0,0,,classic-editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7043,woosb,,"DIY Awesome Creations Box",1,0,visible,,"<h4>Our DIY Awesome Creations Box is the perfect treat for any occasion...</h4>
\n<div><strong>Each Box Includes:</strong></div>
\n<ul>
\n 	<li>x 5 Ring Donuts standard size</li>
\n 	<li>Instructions</li>
\n 	<li>Nutella Packet</li>
\n 	<li>Jam Packet</li>
\n 	<li>Selection of toppings</li>
\n</ul>
\nShare your creations with us! @therollingdonut_  #therollingdonut
\n
\nAllergens: Dairy, Eggs, Soya, Gluten, Nuts (Hazelnuts)",,,taxable,,1,,,0,0,,,,,0,,,24,"Corporate Orders, Corporate Orders > Non-Branded Donuts, Personal Orders","activity for kids, DIY Box, diy donuts, make your own donuts, ring donuts",,"https://www.therollingdonut.ie/wp-content/uploads/2020/05/IMG_7199-square.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/05/IMG_7156.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/05/IMG_7155.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/05/IMG_7163.jpg",,,,,,,,,0,18,,,on,0,whole,off,off,,,4,4,1,1,inherit,,off,0,0,0,,classic-editor,"Create your own donuts! Perfect activity for kids and adults of all ages. Chocolate, Jam, Vanilla, Brand favourites... This box has it all!",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8884,woosb,,"PRIDE Donuts (Box of 12)",0,0,hidden,,"<h4>Happy Pride Month!</h4>
\n<h4>Celebrate with a selection of handcrafted Gourmet Sourdough Pride Donuts.</h4>
\n<div><strong>The Classic Box of 12 contains the following:</strong></div>
\n<ul>
\n 	<li>x1 Blueberry Cheesecake</li>
\n 	<li>x1 Red Velvet</li>
\n 	<li>x1 Lotus Biscoff</li>
\n 	<li>x3 Vanilla Sprinkles</li>
\n 	<li>x3 White Chocolate Rainbow Glaze</li>
\n 	<li>x3 Chocolate Rainbow Glaze</li>
\n</ul>
\nPlease note, there are 12 donuts in each box. Quantity 1 = 1 Box of 12.",,,taxable,,1,,,1,0,,,,,0,,,33,"Corporate Orders > Non-Branded Donuts, Personal Orders, Special Occasions","donuts for pride, Dublin Donuts, pride desserts, Pride donuts, pride food dublin, pride month dublin",,"https://www.therollingdonut.ie/wp-content/uploads/2020/06/IMG_7481-scaled-e1654701624736.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/06/IMG_7493-scaled.jpg",,,,,,,,,0,18,,"2533/1,29983/1,9685/1,2904/3,2517/3,26812/3",on,0,whole,off,off,,,12,12,1,1,inherit,,off,0,0,0,,classic-editor,"Happy Pride Month! Celebrate with a selection of handcrafted Gourmet Sourdough Pride Donuts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
9203,woosb,,"Personalised Large Sourdough Donuts (Box of 12)",1,0,visible,,"<h4>Our delicious donuts are made from the very best ingredients using a recipe that has been with us for nearly four decades. The Rolling Donuts are the perfect treat for any event and also make great office treats. Customise each donut with your company logo/branding or an image of your choice.</h4>
\nFor any special requests email: info@therollingdonut.ie before placing your order!
\n<div><strong>The Classic Box of 12 contains each of the following:</strong></div>
\n<ul>
\n 	<li>Ferrero Rocher</li>
\n 	<li>Lotus Biscoff</li>
\n 	<li>Red Velvet</li>
\n 	<li>Kinder Deluxe</li>
\n 	<li>Coffee Lover</li>
\n 	<li>Cookies &amp; Cream</li>
\n 	<li>The Dub</li>
\n 	<li>Victoria Raspberry</li>
\n 	<li>Strawberry Cheesecake</li>
\n 	<li>S'mores</li>
\n 	<li>White Kinder</li>
\n 	<li>Blueberry Cheesecake</li>
\n</ul>
\nPlease note, there are 12 donuts in each box. Quantity 1 = 1 Box of 12.",,,taxable,,1,,,0,0,,,,,0,,,33.60,"Corporate Orders > Branded Donuts, Personal Orders, Special Occasions","corporate donuts, corporate order, custom donuts dublin, customised donuts, donuts for events, doughnuts dublin, personalised donuts, Sourdough donuts",,"https://www.therollingdonut.ie/wp-content/uploads/2020/06/IMG_0317-2.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/06/WhatsApp-Image-2022-05-12-at-2.01.26-PM.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2020/06/WhatsApp-Image-2022-05-12-at-2.01.26-PM-2.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2020/06/WhatsApp-Image-2022-07-12-at-5.04.19-PM.jpeg, https://www.therollingdonut.ie/wp-content/uploads/2018/11/boysandgirls.jpg, https://www.therollingdonut.ie/wp-content/uploads/2018/11/JAMESON2.png, https://www.therollingdonut.ie/wp-content/uploads/2018/11/shed.jpg",,,,,,,,,0,18,,"2525/1,2513/1,13933/1,9685/1,2553/1,2533/1,2497/1,2509/1,2501/1,31408/1,29983/1,13938/0,21942/0,11854/0,2841/0,2904/0,2625/0,2517/0,11854/0,2869/0,9689/0,2574/0,2566/0,2578/0,5027/0,2561/0,2570/0,2586/0,2570/0,2557/0,29988/0,33699/1",on,0,whole,on,off,,,12,12,1,1,inherit,,off,0,0,0,,classic-editor,"Our classic sourdough donuts branded with your companies logo or an image of your choice. Next day delivery on all orders!",1,yes,yes,,product,no,,,,,,,,,,,,,,,,,"Personalised Sourdough Donuts (Box of 12)",,,,,
10342,woosb,,"Vegan Midi Sourdough Donuts (Box of 20)",1,0,visible,,"<strong>The Classic Box of 20 contains a mix of our most loved vegan donuts! </strong>
\n
\nMade from scratch every day using quality ingredients from our secret recipe. Our midis are perfect for parties, birthdays, food events and other celebrations.
\n
\nPlease note, there are 20 donuts in each box. Quantity 1 = 1 Box of 20.",,,taxable,,1,,,0,0,,,,,0,,,44,"Corporate Orders > Non-Branded Donuts, Personal Orders","best vegan food, mini donuts dublin, vegan cake, vegan donuts dublin, vegan dublin, Vegan nutella, vegan pastries near me, vegan rolling donut, Vegan treats dublin",,https://www.therollingdonut.ie/wp-content/uploads/2020/08/IMG_8352-scaled-e1597406794263.jpg,,,,,,,,,0,18,,"9690/4,2587/2,5028/2,2575/4,2571/2,2567/2,2558/2,2562/2",on,0,whole,on,off,,,20,20,1,1,inherit,,off,0,0,0,,classic-editor,"20 Vegan midi sourdough donuts. Choose your favourites NOW! Available for collection and delivery all over Co. Dublin. Vegan friendly!",1,,,,,,Size,Midi,1,1,,,,,,,,,,,,,,,,,,
12004,woosb,,"DIY Spooky Creatures",0,0,hidden,,"<h4>Our DIY Spooky Creatures Box is the perfect treat for any occasion...</h4>
\n<div><strong>Each Box Includes:</strong></div>
\n<ul>
\n 	<li>6 x Midi Donuts</li>
\n 	<li>Instructions</li>
\n 	<li>Coloured Icing x2 (Green &amp; Orange)</li>
\n 	<li>Nutella Pack x1</li>
\n 	<li>Selection of toppings</li>
\n</ul>
\nShare your creations with us! @therollingdonut_  #therolloingdonut",,,taxable,,0,,,0,0,,,,,0,,,22,"Corporate Orders, Corporate Orders > Non-Branded Donuts, Personal Orders","DIY Box",,"https://www.therollingdonut.ie/wp-content/uploads/2020/10/ShsEaGLg.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/10/IMG_9264-scaled.jpg, https://www.therollingdonut.ie/wp-content/uploads/2020/10/DIY-scaled.jpg",,,,,,,,,0,18,,,on,0,whole,off,off,,,4,4,1,1,inherit,,off,0,0,0,,classic-editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12007,woosb,,"Halloween Trick or Treat (Box of 20 midi)",0,0,hidden,,"<strong>The Classic Box of 20 contains a mix of all our bestselling sourdough donuts!</strong>
\n
\n&nbsp;
\n
\nPlease note, there are 20 donuts in each box. Quantity 1 = 1 Box of 20.
\n
